source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bars,2-3-59,300000.0,80.0,3.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"(40.199176396159615, 44.55827345658594)",3949,14382,6336,5625,1797,5481,8617,3,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0
myrealty,139947,150000.0,57.0,2.0,2.0,14.0,1.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,"(40.21427165, 44.47869465)",4408,9571,3997,8716,5735,2286,7735,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
bnakaran,d107131,205000.0,68.0,2.0,5.0,15.0,1.0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"(40.203477, 44.499404)",2356,10148,2865,6750,4097,842,6612,16,11,3,3,0,2,0,2,0,1,0,1,0,1,0,0
bars,6-D3-207,163000.0,72.0,3.0,2.0,11.0,1.0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,"(40.166016462777485, 44.4567380668362)",5432,5016,3062,7184,9187,4685,3409,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
bars,1-3-883,357000.0,115.2,4.0,5.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"(40.1861605885798, 44.514048989347714)",90,10356,2311,4463,4000,2117,5174,9,32,1,4,4,2,0,2,0,0,2,1,0,1,0,0
myrealty,139700,560000.0000000001,153.0,3.0,4.0,7.0,2.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,"(40.1832187, 44.50449735)",951,9481,1437,4641,4807,1805,4544,1,7,3,1,6,3,1,2,1,1,1,1,0,0,0,0
bnakaran,d117671,240000.0,85.0,3.0,6.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"(40.184516308227, 44.520439492065)",483,10802,2782,4064,3799,2670,5294,7,34,3,8,10,0,0,4,2,0,3,0,0,4,0,0
bnakaran,d117523,235000.0,100.0,3.0,4.0,6.0,2.0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,"(40.202168, 44.514945)",1797,11193,3411,6063,2889,1879,6829,3,0,4,3,0,0,3,4,0,0,0,0,0,0,0,0
myrealty,123034,150000.00000000003,76.0,3.0,3.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"(40.20958515, 44.49857435)",2974,10487,3496,7379,4056,1431,7271,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0
myrealty,138020,99000.0,46.0,2.0,15.0,16.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"(40.19822318396341, 44.49082633472604)",2468,9217,2135,6670,4961,273,5942,10,19,2,8,1,0,0,2,0,0,1,2,0,1,0,0
bnakaran,d116951,240000.0000000001,87.0,3.0,6.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"(40.180449560569, 44.509927337295)",757,9811,1829,4114,4706,2316,4449,6,16,7,2,7,3,0,3,0,2,1,3,0,3,0,0
bars,4-3-1386,150000.0,80.0,3.0,2.0,5.0,1.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,"(40.20586486520793, 44.51002309500625)",2250,11047,3494,6596,3158,1680,7081,4,4,7,6,5,0,5,1,0,0,0,2,0,2,0,0
bnakaran,d116260,1437.5,66.0,2.0,5.0,10.0,1.0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,"(40.196629683302, 44.549035949737)",3116,13548,5502,5168,1775,4693,7866,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0
bars,4-3-1397,161000.0,78.0,3.0,4.0,6.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"(40.19194689069822, 44.50603348930943)",1014,9991,2066,5360,4102,1195,5503,3,8,0,4,1,0,0,1,0,0,1,0,0,0,0,0
myrealty,132028,215000.00000000003,70.0,3.0,6.0,11.0,2.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,"(40.182206184659805, 44.51166722152143)",512,10014,2001,4189,4462,2259,4691,10,16,6,5,5,4,0,4,0,1,1,5,0,4,0,0
myrealty,142451,170000.0,66.0,3.0,10.0,15.0,1.0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,"(40.17429211194108, 44.50409202665325)",1602,9136,1431,3946,5549,2697,3615,3,6,1,1,3,0,0,2,0,0,0,1,0,0,0,0
bnakaran,d116797,355000.0,150.0,3.0,2.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"(40.179595500574, 44.521160244306)",879,10692,2778,3539,4227,3042,4886,7,8,1,4,7,0,0,1,0,0,0,1,0,0,0,0
myrealty,124908,210000.0,90.0,3.0,1.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"(40.1832187, 44.50449735)",951,9481,1437,4641,4807,1805,4544,1,7,3,1,6,3,1,2,1,1,1,1,0,0,0,0
bars,4-2-188,255000.0,65.0,2.0,5.0,5.0,1.0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
myrealty,130216,143000.0,53.0,2.0,2.0,15.0,1.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.16188844717563, 44.539173935967966)",3372,11833,4714,1233,5653,5506,4909,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
myrealty,140481,287000.00000000006,130.0,4.0,13.0,14.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"(40.21015348895229, 44.50777117033231)",2756,11154,3822,7109,3273,1863,7489,1,0,2,1,2,1,0,3,0,0,1,1,0,0,0,0
myrealty,141131,89999.99999999999,65.0,3.0,5.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"(40.1906722427931, 44.46234708546167)",4510,6769,2564,7871,7521,2767,5465,4,7,1,12,1,1,1,1,0,0,1,0,0,0,0,0
